synpic42072|spine, intradural lipoma
synpic37231|pulmonary embolism
synpic51484|calcific tendinitis
synpic15699|transitional cell carcinoma, bladder
synpic33852|simple bone cyst
synpic2923|nonspecific interstitial pneumonitis
synpic29235|ovarian torsion
synpic100585|pulmonary embolism
synpic35354|lisfranc fracture-dislocation
synpic46824|pulmonary embolism
synpic42797|spinal cord astrocytoma
synpic51298|abdominal aortic aneurysm
synpic25210|pulmonary sarcoidosis
synpic22728|c-spine fracture
synpic24665|pneumothorax
synpic46204|acute appendicitis
synpic24999|pneumonia
synpic100453|right c6 radiculopathy and ankylosing spondylitis
synpic53559|supra-renal inferior vena cava clot
synpic33445|parathyroid adenoma
synpic33985|fibrous dysplasia
synpic42967|supracondylar fracture
synpic22524|hereditary multiple exostoses
synpic22948|mature cystic teratoma
synpic25238|pulmonary embolism
synpic52862|quadriceps tendon rupture
synpic18262|intraosseous lipoma
synpic50609|paget's disease
synpic37098|osteoid osteoma
synpic27718|occult stress fracture
synpic26209|endometrioma
synpic56090|partial anomalous pulmonary venous return
synpic39790|carotid artery dissection
synpic38678|tibial plateau fracture
synpic37066|achalasia
synpic52157|crohn disease
synpic55299|neuroblastoma
synpic43969|pulmonary embolism
synpic59782|acute appendicitis
synpic51655|transverse myelitis
synpic43621|horseshoe kidney
synpic23810|nodular sclerosing hodgkin’s lymphoma
synpic43898|testicular microlithiasis
synpic22228|parsonage-turner syndrome
synpic50369|pleomorphic  xanthoastrocytoma, pxa
synpic27204|hypertrophic pyloric stenosis
synpic21178|femoral neck stress fractures
synpic42258|pulmonary sarcoidosis
synpic21536|horseshoe kidney
synpic47785|pericardial cyst
synpic29229|erosive osteoarthritis
synpic41496|acute pyelonephritis
synpic27108|tension pneumothorax
synpic35317|pulmonary sarcoidosis
synpic22767|pulmonary sarcoidosis
synpic34395|angiomyolipoma
synpic54304|schwannoma
synpic53075|schwannoma
synpic31891|adrenal myelolipoma
synpic100580|motor vehicle accidents and instrument failure
synpic32871|pulmonary embolism
synpic58069|paraesophageal hernia
synpic32933|azygous lobe
synpic16913|horseshoe kidney
synpic39915|pulmonary embolism
synpic24947|femoral neck stress fractures
synpic46231|avascular necrosis
synpic49488|mycotic aneurysm
synpic55756|enlarged subarachnoid space
synpic41994|nonossifying fibroma
synpic59282|incidental hepatic artery aneurysm
synpic30983|angiomyolipoma
synpic16203|diverticulitis
synpic36989|sarcoidosis
synpic24245|spine, epidural abscess
synpic25125|hiatal hernia
synpic55762|enlarged subarachnoid space
synpic36992|tension pneumothorax
synpic32759|nonossifying fibroma
synpic56770|dural  fistula, avf
synpic17563|pancreatic adenocarcinoma
synpic55774|enlarged subarachnoid space
synpic55382|carotid artery dissection
synpic41672|pulmonary embolism
synpic51200|intramedullary (intradural-intramedullary), spinal lesions
synpic29726|pulmonary arteriovenous malformation
synpic52935|adrenal myelolipoma
synpic22578|hiatal hernia
synpic27104|esophageal foreign body - coin ingestion
synpic20327|pericardial cyst
synpic42991|empyema
synpic31920|colon cancer
synpic46592|osteopoikilosis
synpic27984|adpkd -autosomal dominant polycystic kidney disease
synpic60667|acute appendicitis
synpic49843|enlarged subarachnoid space
synpic53568|liposarcoma, myxoid liposarcoma
synpic59335|pulmonary embolism
synpic22798|pulmonary embolism
synpic15810|pericardial cyst
synpic100584|right c6 radiculopathy and ankylosing spondylitis
synpic39647|ewing sarcoma
synpic16028|meningioma
synpic20002|torus fracture/buckle fracture of the distal radius
synpic53139|epiploic appendagitis
synpic42247|pneumocystis jiroveci (p. carinii) pneumonia
synpic52861|tibial plateau fracture
synpic24351|pericardial cyst
synpic29754|adrenal myelolipoma
synpic17013|foregut cyst
synpic59273|incidental hepatic artery aneurysm
synpic16388|hereditary hemorrhagic telangiectasia (hht) and pulmonary arteriovenous malformation (avm)- osler-weber-rendu
synpic23762|cirrhosis of the liver
synpic29681|adenomyomatosis
synpic18567|rickets
synpic26527|left aortic arch with aberrant right subclavian artery
synpic27494|angiomyolipoma
synpic39432|partial anomalous pulmonary venous return
synpic17129|hypertrophic pyloric stenosis
synpic47180|transitional cell carcinoma
synpic37257|classic bosniak class iii complex renal cyst
synpic31909|mixed germ cell testicular tumor
synpic16218|aortic dissection, aortic tear
synpic33268|multifocal bone infarcts (osteonecrosis) in a patient with systemic lupus erythematosus.
synpic52072|aortic coarctation
synpic42585|osteochondritis dissecans
synpic40872|spinal cord astrocytoma
synpic56637|pleomorphic  xanthoastrocytoma, pxa
synpic60060|acute appendicitis
synpic28145|transitional cell carcinoma, bladder
synpic40535|acute appendicitis
synpic30899|deep venous thrombosis
synpic38166|right aortic arch with aberrant left subclavian artery
synpic27010|enlarged subarachnoid space
synpic34148|pulmonary embolism
synpic48161|pulmonary thromboembolism
synpic47935|acute appendicitis
synpic35742|leptomeningeal sarcoid
synpic59714|lymphangioma
synpic20119|myelolipoma
synpic21759|kohler's disease
synpic32329|nonossifying fibroma
synpic40875|spine, epidural abscess
synpic29664|chondrocalcinosis
synpic54621|pulmonary embolism
synpic43739|supracondylar fracture
synpic43932|azygous lobe
synpic54589|aneurysmal bone cyst
synpic33199|pulmonary embolism
synpic20294|pheochromocytoma, bilateral
synpic29727|avascular necrosis
synpic53121|nodular sclerosing hodgkin’s lymphoma
synpic16394|nonossifying fibroma
synpic22378|intramuscular hemangioma
synpic22786|acute appendicitis
synpic50607|bronchogenic carcinoma
synpic28082|kohler's disease
synpic26367|aberrant right subclavian artery (arsa)
synpic47250|pleomorphic  xanthoastrocytoma, pxa
synpic31719|azygous lobe
synpic100462|motor vehicle accidents and instrument failure
synpic20015|hepatic adenoma
synpic33113|rheumatoid arthritis
synpic54535|pulmonary arteriovenous malformation
synpic32244|aneurysmal bone cyst
synpic56731|femoral neck stress fractures
synpic44467|idiopathic synovial osteochondromatosis
synpic26972|seminoma
synpic17677|basic chest imaging review, search pattern, required structures
synpic31666|double aortic arch
synpic22580|crohn's disease
synpic41199|renal infarct
synpic51880|ruptured appendicitis
synpic29058|fractures of the base of the fifth metatarsal
synpic28808|mature cystic teratoma
synpic52878|liver hemangioma
synpic56774|dural  fistula, avf
synpic22839|pulmonary embolus
synpic55755|enlarged subarachnoid space
synpic48310|horseshoe kidney
synpic43587|adenomyomatosis
synpic22370|transitional cell carcinoma, bladder
synpic40379|adenocarcinoma of the lung
synpic17161|radial head fracture
synpic55104|ankylosing spondylitis
synpic32615|pericardial cyst
synpic34502|esophageal foreign body - coin ingestion
synpic39784|benign cystic teratoma
synpic34324|pericardial cyst
synpic54047|adenocarcinoma of the lung
synpic31791|tension pneumothorax
synpic29050|pulmonary embolism
synpic31892|adrenal myelolipoma
synpic22876|pseudomembranous colitis
synpic28987|atelectasis
synpic39914|pulmonary embolism
synpic37232|pulmonary embolism
synpic30752|duplicated inferior vena cava
synpic22253|osteomyelitis
synpic41207|epidural spinal hematoma
synpic41396|diastematomyelia
synpic54057|lumbar herniated disc
synpic32059|fractures of the base of the fifth metatarsal
synpic26941|odontoid fracture
synpic31570|avascular necrosis
synpic31958|lipomatous hypertrophy of the interatrial septum
synpic18577|epididymitis
synpic53067|amyloidosis
synpic55381|osteopoikilosis
synpic26202|pneumonia
synpic39808|partial anomalous pulmonary venous return
synpic23531|stress fracture
synpic38589|extramedullary hematopoiesis
synpic19564|breast implant,  rupture, extracapsular silicone
synpic51459|mesenteric adenitis
synpic51142|ankylosing spondylitis
synpic23777|adrenal myelolipoma
synpic28543|duodenal diverticulum
synpic24410|angiomyolipoma
synpic55743|enlarged subarachnoid space
synpic1050|achalasia
synpic18873|clear cell chondrosarcoma
synpic24242|sickle cell anemia
synpic22031|paraesophageal hernia
synpic29049|empyema
synpic23060|angiomyolipoma
